placavehiculo,cilindraje,modelovehiculo,clasedevehiculo,tipodeservicio,numeromotorvehiculo,numerochasis,capacidadpasajeros,numerofacturadeventa,tipodecombustible,estado
CTA407,2600,1989,CAMPERO,PARTICULAR,4G54KD1831,L042M00069,5,7,GASOLINA,ACTIVO
WIT72A,124,2012,MOTOCICLETA,PARTICULAR,157FMIJE230739,9F2B31259CE208774,1,3,GASOLINA,ACTIVO
WIQ76A,114,2012,MOTOCICLETA,PARTICULAR,E3H4E016605,9FKKE1377C2016605,1,1580,GASOLINA,ACTIVO
MSU254,1598,2015,AUTOMOVIL,PARTICULAR,HR16-817240H,3N1CK3CS1ZL374996,5,,GASOLINA,ACTIVO
WIN68A,134,2011,MOTOCICLETA,PARTICULAR,JEGBTC15970,MD2JDB1ZXBVC05510,1,11268,GASOLINA,ACTIVO
VGY24A,125,2007,MOTOCICLETA,PARTICULAR,5GP030354,9FK5GP11F72030354,1,1523,GASOLINA,ACTIVO
JUE130,1400,1985,AUTOMOVIL,PARTICULAR,M801102,F0101102,5,11773,GASOLINA,ACTIVO
LAD613,1600,1991,CAMPERO,PARTICULAR,1587237,M0829265,4,4,GASOLINA,ACTIVO
WIJ13A,110,2009,MOTOCICLETA,PARTICULAR,5C92015954,9FKKE098B92015954,1,283,GASOLINA,ACTIVO
YDG86,124,2006,MOTOCICLETA,PARTICULAR,MX125AE092364,MX125F5A92364,1,605,GASOLINA,ACTIVO
DTN49D,144.8,2016,MOTOCICLETA,PARTICULAR,JEZWFK88723,9FLA64CZ5GBD02369,1,19070,GASOLINA,ACTIVO
WIR03A,124,2012,MOTOCICLETA,PARTICULAR,157FMIJE109288,9F2B21259CE203416,1,7005748318,GASOLINA,ACTIVO
DDE078,1600,2009,AUTOMOVIL,PARTICULAR,F16D33885861,9GATJ58619B176230,5,3868,GASOLINA,ACTIVO
SMI138,7600,2008,VOLQUETA,PUBLICO,35193179,3HTWYAHT98N573220,2,989184001,ACPM,ACTIVO
WGS97D,181,2016,MOTOCICLETA,PARTICULAR,163FMKNQ191700,9F2A81804GA005409,1,646,GASOLINA,ACTIVO
MDQ02A,125,1999,MOTOCICLETA,PARTICULAR,3TL105323,3TL105323,1,1250,GASOLINA,ACTIVO
QGA250,3000,2006,CAMIONETA,PARTICULAR,ZD30013215K,JN1CNUD22Z0007667,5,8,ACPM,ACTIVO
MSU071,1149,2013,AUTOMOVIL,PARTICULAR,G728Q133374,9FBBB8305DM001357,5,6549,GASOLINA,ACTIVO
BFY95B,125,2006,MOTOCICLETA,PARTICULAR,5GP024867,N/N,1,7770,GASOLINA,ACTIVO
BKK668,2400,1999,CAMPERO,PARTICULAR,4G64XQ2795,V11VNA02415,5,1010000752,GASOLINA,ACTIVO
WND654,1400,1991,AUTOMOVIL,PARTICULAR,1JB28IR80722,N/N,4,,GASOLINA,ACTIVO
WIV21A,99,2012,MOTOCICLETA,PARTICULAR,DUMBUL50066,9FLDUC4Z5CAE49142,1,13518,GASOLINA,ACTIVO
SWB951,5998,1982,VOLQUETA,PUBLICO,H06CTB19490,CM012417,2,15045,ACPM,ACTIVO
